prompt_id,domain,n_draft,acceptance_rate,tokens_per_sec,latency
p1,alpaca,0,1.0,2.521482646784003,11.897761833999994
p1,alpaca,2,0.32432432432432434,3.0197403193779597,9.934629083000004
p1,alpaca,4,0.20588235294117646,5.582982300390202,5.373472166999932
p1,alpaca,8,0.11023622047244094,4.45326931274976,6.736623790999943
p2,alpaca,0,1.0,7.85496865100725,3.819238667000036
p2,alpaca,2,0.6296296296296297,7.017977935127792,4.2747355830000515
p2,alpaca,4,0.46511627906976744,7.3557612599530735,4.07843579200005
p2,alpaca,8,0.27631578947368424,5.685728690329229,5.276368542
p3,alpaca,0,1.0,6.526429529202167,4.5966940829999885
p3,alpaca,2,0.8636363636363636,7.991902248735634,3.753799666999953
p3,alpaca,4,0.8214285714285714,10.894047386400016,2.753797458000008
p3,alpaca,8,0.6842105263157895,9.871026808886226,3.0391975
p4,alpaca,0,1.0,3.6823482997930808,8.146975124999926
p4,alpaca,2,1.0,8.21060390599638,3.653811625000003
p4,alpaca,4,0.8888888888888888,11.734115696162169,2.556647708000014
p4,alpaca,8,0.8125,5.433065008185342,5.521745084000031
p5,alpaca,0,1.0,3.511741524585282,8.542769958999997
p5,alpaca,2,0.782608695652174,7.253865464008053,4.135725999999977
p5,alpaca,4,0.5833333333333334,3.5434948986796817,8.466217916999994
p5,alpaca,8,0.38596491228070173,5.096735184342963,5.886121000000003
p6,alpaca,0,1.0,4.7179034169143215,6.358756707999987
p6,alpaca,2,0.6296296296296297,6.9111888133560235,4.340787209000041
p6,alpaca,4,0.4318181818181818,8.290195434951878,3.618732541999975
p6,alpaca,8,0.2876712328767123,5.973727348792236,5.021990166000023
p7,alpaca,0,1.0,2.4046709289993315,12.475719499999968
p7,alpaca,2,0.9523809523809523,4.893830455071199,6.130167417000052
p7,alpaca,4,0.8571428571428571,9.927075974540017,3.022037917000034
p7,alpaca,8,0.7878787878787878,7.647581513832893,3.9228087919999552
p8,alpaca,0,1.0,6.449255977553335,4.651699375000021
p8,alpaca,2,1.0,10.190400700828944,2.9439470419999907
p8,alpaca,4,0.8571428571428571,11.121868944808268,2.6973883750000596
p8,alpaca,8,0.6842105263157895,15.552843651138568,1.928907707999997
p9,alpaca,0,1.0,6.3674947590488165,4.711429083999974
p9,alpaca,2,0.9523809523809523,6.9644220179736624,4.307608000000073
